id,customer_name,country
281,Fhhkye Slmds,India
282,Uszlmr Vajws,United States
283,Gwntk Lyegks,India
284,Whxs Wiiukd,Germany
285,Quvry Pysgqam,Italy
286,Pmbgr Ofusacmhu,Canada
287,Idzs Kavxbj,Canada
288,Oqlymzlf Gmyigb,Australia
289,Uqwngje Glebirjkk,Spain
290,Venbyn Khadttz,Canada
291,Yhlxlpht Ypcbkve,Japan
292,Advs Nibadq,Italy
293,Vdrze Pbybfxt,Singapore
294,Etrhigz Ppbxvfn,Singapore
295,Cyavy Aqrdzdf,Brazil
296,Enpslzl Endgccox,United Kingdom
297,Iessvx Vxngugmh,United Kingdom
298,Cpczpql Tnrqm,Singapore
299,Elcdwoe Rzuwfmje,Italy
300,Whtcbr Scwgplhr,United Kingdom
